SOURCE MATERIAL,BINDER(Kg/m^3),FLY-ASH %,SLAG %,rest period hours,CURING TEMPERATURE,CURING PERIOD,NaOH/Na2SiO3,superplasticizer,extra water added,MOLARITY,ALKALINE ACTIVATOR /BINDER RATIO,COMPRESSIVE STRENGTH (MPa)
mix,400.0,0.85,0.15,0.0,20.0,48,0.5,4.0,0.0,10.0,0.35,31.0
mix,400.0,0.8,0.2,0.0,20.0,48,0.5,4.0,0.0,10.0,0.35,38.0
mix,400.0,0.75,0.25,0.0,20.0,48,0.5,4.0,0.0,10.0,0.35,48.0
mix,400.0,0.85,0.15,0.0,20.0,48,0.67,4.0,0.0,10.0,0.4,28.0
mix,400.0,0.75,0.25,0.0,20.0,48,0.4,4.0,0.0,10.0,0.4,42.0
mix,381.0,0.8,0.2,0.0,20.0,48,2.0,0.0,0.0,6.0,0.56,37.4
mix,381.0,0.8,0.2,0.0,20.0,48,1.0,0.0,0.0,6.0,0.56,26.6
mix,381.0,0.8,0.2,0.0,20.0,48,2.0,0.0,0.0,4.0,0.56,29.9
mix,381.0,0.8,0.2,0.0,20.0,48,1.0,0.0,0.0,4.0,0.56,30.7
mix,378.0,0.9,0.1,0.0,20.0,48,2.0,0.0,0.0,4.0,0.56,15.5
mix,379.0,0.85,0.15,0.0,20.0,48,2.0,0.0,0.0,4.0,0.56,23.0
mix,381.0,0.8,0.2,0.0,20.0,48,2.0,0.0,0.0,4.0,0.56,30.6
Class F Fly-Ash,394.3,1.0,0.0,0.0,20.0,48,0.4,0.0,0.0,8.0,0.4,17.69
Class F Fly-Ash,408.0,1.0,0.0,0.0,20.0,48,0.4,0.0,0.0,8.0,0.35,20.15
Class F Fly-Ash,408.0,1.0,0.0,0.0,20.0,48,0.4,0.0,0.0,10.0,0.35,22.08
Class F Fly-Ash,408.0,1.0,0.0,0.0,20.0,48,0.4,0.0,0.0,12.0,0.35,24.65
Class F Fly-Ash,408.0,1.0,0.0,0.0,20.0,48,0.4,0.0,0.0,14.0,0.35,25.73
mix,400.0,1.0,0.0,0.0,20.0,48,0.4,8.0,35.0,8.0,0.4,7.5
mix,400.0,0.8,0.2,0.0,20.0,48,0.4,8.0,35.0,8.0,0.4,21.0
mix,400.0,0.6,0.4,0.0,20.0,48,0.4,8.0,35.0,8.0,0.4,26.0
mix,400.0,0.4,0.6,0.0,20.0,48,0.4,8.0,35.0,8.0,0.4,30.7
